# assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,n16S,nge,ncds,genome_size,tax_name,phi,GC,clade,tip_name,npaths_actual,branch_length
GCF_000225445.1,PRJNA158533,SAMN02604329,,representative genome,1005090,9,Buchnera aphidicola str. Ak (Acyrthosiphon kondoi),strain=Ak (Acyrthosiphon kondoi),,latest,Complete Genome,Major,Full,2011/09/07,ASM22544v1,,GCA_000225445.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000225445.1_ASM22544v1,1.0,3.0,582.0,653223.0,GCF_000225445.1_Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)_strain=Ak (Acyrthosiphon kondoi),0.52631586791,25.9913401991,1256.0,@GCF_000225445.1_Buchnera_aphidicola_str._Ak__Acyrthosiphon_kondoi__strain_Ak__Acyrthosiphon_kondoi_,64.0,0.0124535
GCF_000183305.1,PRJNA158845,SAMN02604268,,na,713600,9,Buchnera aphidicola str. JF98 (Acyrthosiphon pisum),strain=JF98 (Acyrthosiphon pisum),,latest,Complete Genome,Major,Full,2010/11/04,ASM18330v1,,GCA_000183305.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000183305.1_ASM18330v1,1.0,1.0,408.0,641771.0,GCF_000183305.1_Buchnera aphidicola str. JF98 (Acyrthosiphon pisum)_strain=JF98 (Acyrthosiphon pisum),0.780806819028,26.3235640127,1258.0,@GCF_000183305.1_Buchnera_aphidicola_str._JF98__Acyrthosiphon_pisum__strain_JF98__Acyrthosiphon_pisum_,53.0,1.15103e-06
GCF_000183285.1,PRJNA158847,SAMN02604267,,na,713601,9,Buchnera aphidicola str. JF99 (Acyrthosiphon pisum),strain=JF99 (Acyrthosiphon pisum),,latest,Complete Genome,Major,Full,2010/11/04,ASM18328v1,,GCA_000183285.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000183285.1_ASM18328v1,1.0,1.0,562.0,641716.0,GCF_000183285.1_Buchnera aphidicola str. JF99 (Acyrthosiphon pisum)_strain=JF99 (Acyrthosiphon pisum),0.541630305197,26.2863946045,1257.0,@GCF_000183285.1_Buchnera_aphidicola_str._JF99__Acyrthosiphon_pisum__strain_JF99__Acyrthosiphon_pisum_,64.0,0.00133922
GCF_000225465.1,PRJNA158535,SAMN02604330,,representative genome,1005057,9,Buchnera aphidicola str. Ua (Uroleucon ambrosiae),strain=Ua (Uroleucon ambrosiae),,latest,Complete Genome,Major,Full,2011/09/07,ASM22546v1,,GCA_000225465.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000225465.1_ASM22546v1,1.0,3.0,543.0,627953.0,GCF_000225465.1_Buchnera aphidicola str. Ua (Uroleucon ambrosiae)_strain=Ua (Uroleucon ambrosiae),0.542040080314,25.769527062,1252.0,@GCF_000225465.1_Buchnera_aphidicola_str._Ua__Uroleucon_ambrosiae__strain_Ua__Uroleucon_ambrosiae_,55.0,0.0293961
GCF_000521585.1,PRJNA224116,SAMN02641632,,na,1009859,9,Buchnera aphidicola str. F009 (Myzus persicae),strain=F009 (Myzus persicae),,latest,Complete Genome,Major,Full,2014/01/22,ASM52158v1,University of Miami,GCA_000521585.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000521585.1_ASM52158v1,1.0,2.0,589.0,651310.0,GCF_000521585.1_Buchnera aphidicola str. F009 (Myzus persicae)_strain=F009 (Myzus persicae),0.533265126916,25.7449460869,1264.0,@GCF_000521585.1_Buchnera_aphidicola_str._F009__Myzus_persicae__strain_F009__Myzus_persicae_,68.0,0.00943756
GCF_000521565.1,PRJNA224116,SAMN02641631,,representative genome,1009858,9,Buchnera aphidicola str. G002 (Myzus persicae),strain=G002 (Myzus persicae),,latest,Complete Genome,Major,Full,2014/01/22,ASM52156v1,University of Miami,GCA_000521565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000521565.1_ASM52156v1,1.0,2.0,589.0,651316.0,,,25.7600770349,,,,
GCF_000521525.1,PRJNA224116,SAMN02641629,,na,1009856,9,Buchnera aphidicola str. USDA (Myzus persicae),strain=USDA (Myzus persicae),,latest,Complete Genome,Major,Full,2014/01/22,ASM52152v1,University of Miami,GCA_000521525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000521525.1_ASM52152v1,1.0,2.0,590.0,651306.0,,,25.7554752508,,,,
GCF_000521545.1,PRJNA224116,SAMN02641630,,na,1009857,9,Buchnera aphidicola str. W106 (Myzus persicae),strain=W106 (Myzus persicae),,latest,Complete Genome,Major,Full,2014/01/22,ASM52154v1,University of Miami,GCA_000521545.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000521545.1_ASM52154v1,1.0,2.0,589.0,651304.0,,,25.7497277711,,,,
GCF_001280225.1,PRJNA224116,SAMN02937542,,na,1265350,9,Buchnera aphidicola (Aphis glycines),strain=BAg,,latest,Complete Genome,Major,Full,2015/09/08,ASM128022v1,The Ohio State University,GCA_001280225.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001280225.1_ASM128022v1,1.0,3.0,566.0,638851.0,GCF_001280225.1_Buchnera aphidicola (Aphis glycines)_strain=BAg,0.537290767059,27.8842417137,1253.0,@GCF_001280225.1_Buchnera_aphidicola__Aphis_glycines__strain_BAg,63.0,0.026447
GCF_000218545.1,PRJNA68143,SAMN02232005,,representative genome,593907,11,[Cellvibrio] gilvus ATCC 13127,strain=ATCC 13127,,latest,Complete Genome,Major,Full,2011/06/15,ASM21854v1,,GCA_000218545.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000218545.1_ASM21854v1,2.0,1.0,3106.0,3526441.0,GCF_000218545.1_Cellvibrio gilvus ATCC 13127_strain=ATCC 13127,0.557975027235,73.8128895393,4302.0,@GCF_000218545.1_Cellvibrio_gilvus_ATCC_13127_strain_ATCC_13127,144.0,0.0235722
GCF_000020965.1,PRJNA59439,SAMN02603928,,representative genome,309799,14,Dictyoglomus thermophilum H-6-12,strain=H-6-12; ATCC 35947,,latest,Complete Genome,Major,Full,2008/09/26,ASM2096v1,,GCA_000020965.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000020965.1_ASM2096v1,2.0,1.0,1855.0,1959987.0,GCF_000020965.1_Dictyoglomus thermophilum H-6-12_strain=H-6-12; ATCC 35947,0.382233749061,33.7409890984,2789.0,@GCF_000020965.1_Dictyoglomus_thermophilum_H-6-12_strain_H-6-12__ATCC_35947,143.0,0.02828
GCF_000012885.1,PRJNA58241,SAMN02598295,,representative genome,338963,19,Pelobacter carbinolicus DSM 2380,strain=DSM 2380,,latest,Complete Genome,Major,Full,2006/03/30,ASM1288v1,,GCA_000012885.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000012885.1_ASM1288v1,2.0,1.0,3156.0,3665893.0,GCF_000012885.1_Pelobacter carbinolicus DSM 2380_strain=DSM 2380,0.467805098146,55.1137471825,5120.0,@GCF_000012885.1_Pelobacter_carbinolicus_DSM_2380_strain_DSM_2380,141.0,0.0790968
GCF_000016585.1,PRJNA58267,SAMN00623063,,na,319224,24,Shewanella putrefaciens CN-32,strain=CN-32,,latest,Complete Genome,Major,Full,2007/04/20,ASM1658v1,,GCA_000016585.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000016585.1_ASM1658v1,8.0,1.0,3950.0,4659220.0,GCF_000016585.1_Shewanella putrefaciens CN-32_strain=CN-32,0.406301594627,44.4516249501,1437.0,@GCF_000016585.1_Shewanella_putrefaciens_CN-32_strain_CN-32,205.0,0.0053099
GCF_000169215.2,PRJNA161927,SAMN00632276,,na,399804,24,Shewanella putrefaciens 200,strain=200,,latest,Complete Genome,Major,Full,2011/01/18,ASM16921v2,,GCA_000169215.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000169215.2_ASM16921v2,8.0,1.0,4078.0,4840251.0,GCF_000169215.2_Shewanella putrefaciens 200_strain=200,0.4061408168,44.4962461657,1434.0,@GCF_000169215.2_Shewanella_putrefaciens_200_strain_200,195.0,0.0067845
GCF_000219105.1,PRJNA68443,SAMN02603152,,representative genome,483219,33,Myxococcus fulvus HW-1,strain=HW-1,,latest,Complete Genome,Major,Full,2011/06/22,ASM21910v1,,GCA_000219105.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000219105.1_ASM21910v1,3.0,1.0,6861.0,9003593.0,GCF_000219105.1_Myxococcus fulvus HW-1_strain=HW-1,0.456725265331,70.625127102,5074.0,@GCF_000219105.1_Myxococcus_fulvus_HW-1_strain_HW-1,179.0,1.15103e-06
GCF_000988565.1,PRJNA224116,SAMN03609916,,na,1334629,33,Myxococcus fulvus 124B02,strain=124B02,,latest,Complete Genome,Major,Full,2015/05/06,ASM98856v1,"State Key Laboratory of Microbial Technology, College of Life Science, Shandong University",GCA_000988565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000988565.1_ASM98856v1,3.0,1.0,8412.0,11048835.0,GCF_000988565.1_Myxococcus fulvus 124B02_strain=124B02,0.462296947599,69.9626974247,5080.0,@GCF_000988565.1_Myxococcus_fulvus_124B02_strain_124B02,184.0,0.0013009
GCF_000012685.1,PRJNA58003,SAMN02604018,,representative genome,246197,34,Myxococcus xanthus DK 1622,strain=DK 1622,,latest,Complete Genome,Major,Full,2006/06/07,ASM1268v1,,GCA_000012685.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000012685.1_ASM1268v1,4.0,1.0,7126.0,9139763.0,GCF_000012685.1_Myxococcus xanthus DK 1622_strain=DK 1622,0.439591015207,68.8912393024,5075.0,@GCF_000012685.1_Myxococcus_xanthus_DK_1622_strain_DK_1622,201.0,0.00996509
GCF_000165485.1,PRJNA158509,SAMN02603592,,representative genome,378806,41,Stigmatella aurantiaca DW4/3-1,strain=DW4/3-1,,latest,Complete Genome,Major,Full,2010/10/21,ASM16548v1,,GCA_000165485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000165485.1_ASM16548v1,2.0,1.0,8059.0,10260756.0,GCF_000165485.1_Stigmatella aurantiaca DW4/3-1_strain=DW4/3-1,0.450111657562,67.4586453474,5072.0,@GCF_000165485.1_Stigmatella_aurantiaca_DW4/3-1_strain_DW4/3-1,218.0,0.0345736
GCF_001027285.1,PRJNA224116,SAMN03704078,,na,48,48,Archangium gephyra,strain=DSM 2261,,latest,Complete Genome,Major,Full,2015/06/03,ASM102728v1,"Dr. Srikrishna Subramanian, Protein Science and Engineering, Institute of Microbial Technology, Chandigarh, India",GCA_001027285.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001027285.1_ASM102728v1,3.0,1.0,9470.0,12489432.0,GCF_001027285.1_Archangium gephyra_strain=DSM 2261,0.461844438253,69.4487707688,5084.0,@GCF_001027285.1_Archangium_gephyra_strain_DSM_2261,179.0,0.0298953
GCF_001189295.1,PRJNA224116,SAMN03651481,,na,52,52,Chondromyces crocatus,strain=Cm c5,,latest,Complete Genome,Major,Full,2015/07/30,ASM118929v1,Helmholtz Centre for Infection Research,GCA_001189295.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001189295.1_ASM118929v1,3.0,1.0,7879.0,11388132.0,GCF_001189295.1_Chondromyces crocatus_strain=Cm c5,0.450688668346,68.7090999648,5058.0,@GCF_001189295.1_Chondromyces_crocatus_strain_Cm_c5,156.0,0.0367742
GCF_000067165.1,PRJNA61629,SAMEA3138271,,representative genome,448385,56,Sorangium cellulosum So ce56,strain=So ce 56,,latest,Complete Genome,Major,Full,2007/11/27,ASM6716v1,,GCA_000067165.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000067165.1_ASM6716v1,4.0,1.0,9288.0,13033779.0,GCF_000067165.1_Sorangium cellulosum So ce56_strain=So ce 56,0.420060406511,71.3757383795,5060.0,@GCF_000067165.1_Sorangium_cellulosum_So_ce56_strain_So_ce_56,226.0,0.00546172
GCF_000418325.1,PRJNA210741,SAMN02603858,,na,1254432,56,Sorangium cellulosum So0157-2,strain=So0157-2,,latest,Complete Genome,Major,Full,2013/07/05,ASM41832v1,Shandong University,GCA_000418325.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000418325.1_ASM41832v1,4.0,1.0,10494.0,14782125.0,GCF_000418325.1_Sorangium cellulosum So0157-2_strain=So0157-2,0.429739949018,72.1018392146,5059.0,@GCF_000418325.1_Sorangium_cellulosum_So0157-2_strain_So0157-2,143.0,0.0115986
GCF_000222485.1,PRJNA71485,SAMN02261369,,representative genome,880070,104,Cyclobacterium marinum DSM 745,strain=DSM 745,,latest,Complete Genome,Major,Full,2011/08/03,ASM22248v1,,GCA_000222485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000222485.1_ASM22248v1,3.0,1.0,4919.0,6221273.0,GCF_000222485.1_Cyclobacterium marinum DSM 745_strain=DSM 745,0.199375450618,38.1460675331,2118.0,@GCF_000222485.1_Cyclobacterium_marinum_DSM_745_strain_DSM_745,160.0,0.0306307
GCF_000218895.1,PRJNA68317,SAMN02232050,,representative genome,761193,106,Runella slithyformis DSM 19594,strain=DSM 19594,,latest,Complete Genome,Major,Full,2011/06/17,ASM21889v1,,GCA_000218895.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000218895.1_ASM21889v1,2.0,6.0,5688.0,6919729.0,GCF_000218895.1_Runella slithyformis DSM 19594_strain=DSM 19594,0.113762772969,43.738118418,2330.0,@GCF_000218895.1_Runella_slithyformis_DSM_19594_strain_DSM_19594,169.0,0.281021
GCF_000165715.2,PRJNA60583,SAMN00103628,,representative genome,756272,119,Rubinisphaera brasiliensis DSM 5305,strain=DSM 5305,,latest,Complete Genome,Major,Full,2011/03/01,ASM16571v3,,GCA_000165715.3,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000165715.2_ASM16571v3,2.0,1.0,4676.0,6006602.0,GCF_000165715.2_Rubinisphaera brasiliensis DSM 5305_strain=DSM 5305,0.208895755036,56.4486376823,4652.0,@GCF_000165715.2_Rubinisphaera_brasiliensis_DSM_5305_strain_DSM_5305,181.0,0.375886
GCF_000092105.1,PRJNA48643,SAMN02598463,,representative genome,521674,120,Planctopirus limnophila DSM 3776,strain=DSM 3776,,latest,Complete Genome,Major,Full,2010/05/13,ASM9210v1,,GCA_000092105.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000092105.1_ASM9210v1,2.0,2.0,4257.0,5460085.0,GCF_000092105.1_Planctopirus limnophila DSM 3776_strain=DSM 3776,0.0604306900892,55.3460770772,4653.0,@GCF_000092105.1_Planctopirus_limnophila_DSM_3776_strain_DSM_3776,141.0,0.345009
GCF_000025185.1,PRJNA43209,SAMN00120219,,representative genome,530564,125,Pirellula staleyi DSM 6068,strain=DSM 6068,,latest,Complete Genome,Major,Full,2010/01/07,ASM2518v1,,GCA_000025185.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000025185.1_ASM2518v1,1.0,1.0,4543.0,6196199.0,GCF_000025185.1_Pirellula staleyi DSM 6068_strain=DSM 6068,0.13998183346,57.4646973088,4651.0,@GCF_000025185.1_Pirellula_staleyi_DSM_6068_strain_DSM_6068,153.0,0.484407
GCF_000186345.1,PRJNA62207,SAMN00138929,,representative genome,575540,128,Isosphaera pallida ATCC 43644,strain=ATCC 43644,,latest,Complete Genome,Major,Full,2011/01/20,ASM18634v1,,GCA_000186345.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000186345.1_ASM18634v1,3.0,2.0,3770.0,5529304.0,GCF_000186345.1_Isosphaera pallida ATCC 43644_strain=ATCC 43644,0.0,64.7204423866,4656.0,@GCF_000186345.1_Isosphaera_pallida_ATCC_43644_strain_ATCC_43644,150.0,0.241577
GCF_000021405.1,PRJNA59429,SAMN02603438,,na,445985,139,Borrelia burgdorferi ZS7,strain=ZS7,,latest,Complete Genome,Major,Full,2008/12/17,ASM2140v1,,GCA_000021405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000021405.1_ASM2140v1,1.0,15.0,1260.0,1345494.0,GCF_000021405.1_Borrelia burgdorferi ZS7_strain=ZS7,0.474119245,27.5703593283,2403.0,@GCF_000021405.1_Borrelia_burgdorferi_ZS7_strain_ZS7,48.0,1.15103e-06
GCF_000166655.1,PRJNA161197,SAMN02604203,,na,521008,139,Borrelia burgdorferi JD1,strain=JD1,,latest,Complete Genome,Major,Full,2010/11/16,ASM16665v1,,GCA_000166655.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000166655.1_ASM16665v1,1.0,21.0,1378.0,1531091.0,GCF_000166655.1_Borrelia burgdorferi JD1_strain=JD1,0.47658012762,27.8096341217,2402.0,@GCF_000166655.1_Borrelia_burgdorferi_JD1_strain_JD1,47.0,0.00137707
GCF_000008685.2,PRJNA57581,SAMN02603966,,reference genome,224326,139,Borrelia burgdorferi B31,strain=B31,,latest,Complete Genome,Major,Full,2011/11/09,ASM868v2,TIGR,GCA_000008685.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000008685.2_ASM868v2,1.0,22.0,1390.0,1521208.0,,,27.1033118687,,,,
GCF_000166635.1,PRJNA161241,SAMN02604202,,na,521007,139,Borrelia burgdorferi N40,strain=N40,,latest,Complete Genome,Major,Full,2010/11/16,ASM16663v1,University of Maryland School of Medicine - Institute for Genome Sciences,GCA_000166635.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000166635.1_ASM16663v1,1.0,17.0,1243.0,1339539.0,GCF_000166635.1_Borrelia burgdorferi N40_strain=N40,0.474889700493,27.2824075546,2404.0,@GCF_000166635.1_Borrelia_burgdorferi_N40_strain_N40,46.0,0.00137592
GCF_000444465.1,PRJNA214794,SAMN02604148,,na,1328311,139,Borrelia burgdorferi CA382,strain=CA382,,latest,Complete Genome,Major,Full,2013/08/06,ASM44446v1,University of California Irvine,GCA_000444465.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000444465.1_ASM44446v1,1.0,1.0,804.0,910736.0,,,28.6014827568,,,,
GCF_000956315.1,PRJNA224116,SAMN03408291,,na,1329908,140,Borrelia hermsii CC1,strain=CC1,,latest,Complete Genome,Major,Full,2015/03/19,ASM95631v1,University of California Irvine,GCA_000956315.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000956315.1_ASM95631v1,1.0,1.0,815.0,922280.0,GCF_000956315.1_Borrelia hermsii CC1_strain=CC1,0.465527330596,29.8270590276,2411.0,@GCF_000956315.1_Borrelia_hermsii_CC1_strain_CC1,47.0,0.00542804
GCF_000512145.1,PRJNA224116,SAMN02641595,,na,1435045,141,Borrelia parkeri HR1,strain=HR1,,latest,Complete Genome,Major,Full,2014/01/07,ASM51214v2,University of California Irvine,GCA_000512145.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000512145.1_ASM51214v2,1.0,2.0,922.0,1030684.0,GCF_000512145.1_Borrelia parkeri HR1_strain=HR1,0.47164544549,28.8666055008,2415.0,@GCF_000512145.1_Borrelia_parkeri_HR1_strain_HR1,44.0,0.00138832
GCF_000012085.1,PRJNA58311,SAMN02603508,,na,314724,142,Borrelia turicatae 91E135,strain=9.10E+136,,latest,Complete Genome,Major,Full,2006/12/22,ASM1208v1,,GCA_000012085.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000012085.1_ASM1208v1,1.0,1.0,816.0,917330.0,GCF_000012085.1_Borrelia turicatae 91E135_strain=9.10E+136,0.478036194434,29.1189648218,2416.0,@GCF_000012085.1_Borrelia_turicatae_91E135_strain_9.10E+136,52.0,1.15103e-06
GCF_000147075.1,PRJNA53037,SAMN02603259,,na,665571,154,Spirochaeta thermophila DSM 6192,strain=DSM 6192,,latest,Complete Genome,Major,Full,2010/09/10,ASM14707v1,,GCA_000147075.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000147075.1_ASM14707v1,2.0,1.0,2193.0,2472645.0,GCF_000147075.1_Spirochaeta thermophila DSM 6192_strain=DSM 6192,0.383703193174,61.8774632024,2356.0,@GCF_000147075.1_Spirochaeta_thermophila_DSM_6192_strain_DSM_6192,127.0,0.00265393
GCF_000184345.1,PRJNA162041,SAMN00191235,,representative genome,869211,154,Spirochaeta thermophila DSM 6578,strain=DSM 6578,,latest,Complete Genome,Major,Full,2011/07/06,ASM18434v2,,GCA_000184345.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000184345.1_ASM18434v2,2.0,1.0,2240.0,2560222.0,GCF_000184345.1_Spirochaeta thermophila DSM 6578_strain=DSM 6578,0.383225439225,60.9183109902,2357.0,@GCF_000184345.1_Spirochaeta_thermophila_DSM_6578_strain_DSM_6578,117.0,0.0152312
GCF_000008185.1,PRJNA57583,SAMN02603967,,reference genome,243275,158,Treponema denticola ATCC 35405,strain=ATCC 35405,,latest,Complete Genome,Major,Full,2004/02/03,ASM818v1,,GCA_000008185.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000008185.1_ASM818v1,2.0,1.0,2767.0,2843201.0,GCF_000008185.1_Treponema denticola ATCC 35405_strain=ATCC 35405,0.314161776849,37.8737556719,2372.0,@GCF_000008185.1_Treponema_denticola_ATCC_35405_strain_ATCC_35405,94.0,0.0218864
