# assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,n16S,nge,ncds,genome_size,tax_name,phi,GC,clade,tip_name,npaths_actual,branch_length,nec_actual
GCF_000225445.1,PRJNA224116,SAMN02604329,,representative genome,1005090,9,Buchnera aphidicola str. Ak (Acyrthosiphon kondoi),strain=Ak,,latest,Complete Genome,Major,Full,2011/09/07,ASM22544v1,Yale University,GCA_000225445.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/445/GCF_000225445.1_ASM22544v1,,,1.0,3.0,582.0,653223.0,GCF_000225445.1_Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)_strain=Ak,0.542333496053,25.6694880615,1412.0,@GCF_000225445.1_Buchnera_aphidicola_str._Ak__Acyrthosiphon_kondoi__strain_Ak,66.0,0.0143537,7.0
GCF_000225465.1,PRJNA224116,SAMN02604330,,representative genome,1005057,9,Buchnera aphidicola str. Ua (Uroleucon ambrosiae),strain=Ua,,latest,Complete Genome,Major,Full,2011/09/07,ASM22546v1,Yale University,GCA_000225465.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/465/GCF_000225465.1_ASM22546v1,,,1.0,3.0,543.0,627953.0,GCF_000225465.1_Buchnera aphidicola str. Ua (Uroleucon ambrosiae)_strain=Ua,0.558403417284,24.1804721054,1405.0,@GCF_000225465.1_Buchnera_aphidicola_str._Ua__Uroleucon_ambrosiae__strain_Ua,55.0,0.0357541,8.0
GCF_000521525.1,PRJNA224116,SAMN02641629,,na,1009856,9,Buchnera aphidicola str. USDA (Myzus persicae),strain=USDA,,latest,Complete Genome,Major,Full,2014/01/22,ASM52152v1,University of Miami,GCA_000521525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/525/GCF_000521525.1_ASM52152v1,,,1.0,2.0,590.0,651306.0,GCF_000521525.1_Buchnera aphidicola str. USDA (Myzus persicae)_strain=USDA,0.54848882383,25.448253202,1417.0,@GCF_000521525.1_Buchnera_aphidicola_str._USDA__Myzus_persicae__strain_USDA,70.0,0.00650008,129.0
GCF_000521545.1,PRJNA224116,SAMN02641630,,na,1009857,9,Buchnera aphidicola str. W106 (Myzus persicae),strain=W106,,latest,Complete Genome,Major,Full,2014/01/22,ASM52154v1,University of Miami,GCA_000521545.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/545/GCF_000521545.1_ASM52154v1,,,1.0,2.0,589.0,651304.0,,,25.4494061145,,,,,
GCF_000521565.1,PRJNA224116,SAMN02641631,,representative genome,1009858,9,Buchnera aphidicola str. G002 (Myzus persicae),strain=G002,,latest,Complete Genome,Major,Full,2014/01/22,ASM52156v1,University of Miami,GCA_000521565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/565/GCF_000521565.1_ASM52156v1,,,1.0,2.0,589.0,651316.0,,,25.4475554109,,,,,
GCF_000521585.1,PRJNA224116,SAMN02641632,,na,1009859,9,Buchnera aphidicola str. F009 (Myzus persicae),strain=F009,,latest,Complete Genome,Major,Full,2014/01/22,ASM52158v1,University of Miami,GCA_000521585.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/585/GCF_000521585.1_ASM52158v1,,,1.0,2.0,589.0,651310.0,,,25.4459473983,,,,,
GCF_001280225.1,PRJNA224116,SAMN02937542,,representative genome,1265350,9,Buchnera aphidicola (Aphis glycines),strain=BAg,,latest,Complete Genome,Major,Full,2015/09/08,ASM128022v1,The Ohio State University,GCA_001280225.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/280/225/GCF_001280225.1_ASM128022v1,,,1.0,3.0,566.0,638851.0,GCF_001280225.1_Buchnera aphidicola (Aphis glycines)_strain=BAg,0.554108304008,25.6206846354,1403.0,@GCF_001280225.1_Buchnera_aphidicola__Aphis_glycines__strain_BAg,65.0,0.022429,127.0
GCF_001648115.1,PRJNA224116,SAMN03483427,,representative genome,118110,9,Buchnera aphidicola (Schlechtendalia chinensis),strain=SC,,latest,Complete Genome,Major,Full,2016/05/18,ASM164811v1,"School of Life Sciences, Fudan University, Shanghai, China",GCA_001648115.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/648/115/GCF_001648115.1_ASM164811v1,,,1.0,1.0,511.0,607835.0,GCF_001648115.1_Buchnera aphidicola (Schlechtendalia chinensis)_strain=SC,0.594032546985,25.7945001522,1427.0,@GCF_001648115.1_Buchnera_aphidicola__Schlechtendalia_chinensis__strain_SC,50.0,0.0574087,0.0
GCF_001700895.1,PRJNA224116,SAMN04288104,,representative genome,118101,9,Buchnera aphidicola (Diuraphis noxia),,SAM,latest,Complete Genome,Major,Full,2016/08/09,ASM170089v1,University of Stellenbosch,GCA_001700895.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/700/895/GCF_001700895.1_ASM170089v1,,,1.0,1.0,562.0,636266.0,GCF_001700895.1_Buchnera aphidicola (Diuraphis noxia),0.551510246099,25.4715794966,1406.0,@GCF_001700895.1_Buchnera_aphidicola__Diuraphis_noxia_,66.0,0.0211862,0.0
GCF_900016785.1,PRJNA224116,SAMEA3598223,,representative genome,98804,9,Buchnera aphidicola (Tuberolachnus salignus),strain=BTs,Pazieg,latest,Complete Genome,Major,Full,2016/05/05,BTsPazieg1.0,ICBIBE-UV,GCA_900016785.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/016/785/GCF_900016785.1_BTsPazieg1.0,,,1.0,3.0,385.0,430464.0,GCF_900016785.1_Buchnera aphidicola (Tuberolachnus salignus)_strain=BTs,0.707216784063,21.6299156259,1422.0,@GCF_900016785.1_Buchnera_aphidicola__Tuberolachnus_salignus__strain_BTs,27.0,0.0545948,0.0
GCF_900128595.1,PRJNA224116,SAMEA4556319,,representative genome,655384,9,Buchnera aphidicola (Cinara pseudotaxifoliae),strain=BCipseudotaxifoliae,3056,latest,Complete Genome,Major,Full,2016/11/25,BCipseudotaxifoliae_v1.0,Centre de Biologie pour la Gestion des Populations (CBGP - UMR1062),GCA_900128595.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/128/595/GCF_900128595.1_BCipseudotaxifoliae_v1.0,,,1.0,3.0,377.0,455403.0,GCF_900128595.1_Buchnera aphidicola (Cinara pseudotaxifoliae)_strain=BCipseudotaxifoliae,0.670792169093,24.1994453264,1399.0,@GCF_900128595.1_Buchnera_aphidicola__Cinara_pseudotaxifoliae__strain_BCipseudotaxifoliae,29.0,0.0406909,0.0
GCF_900128725.1,PRJNA224116,SAMEA4556317,,representative genome,9,9,Buchnera aphidicola,strain=BCifornacula,2912,latest,Complete Genome,Major,Full,2016/11/25,BCifornacula_v1.0,Centre de Biologie pour la Gestion des Populations (CBGP - UMR1062),GCA_900128725.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/128/725/GCF_900128725.1_BCifornacula_v1.0,,,1.0,3.0,376.0,456703.0,GCF_900128725.1_Buchnera aphidicola_strain=BCifornacula,0.678191737816,28.2489933283,1398.0,@GCF_900128725.1_Buchnera_aphidicola_strain_BCifornacula,30.0,0.0633209,0.0
GCF_900128735.1,PRJNA224116,SAMEA4556315,,representative genome,1878935,9,Buchnera aphidicola (Cinara confinis),strain=BCiconfinis,2801,latest,Complete Genome,Major,Full,2016/11/25,BCiconfinis_v1.0,Centre de Biologie pour la Gestion des Populations (CBGP - UMR1062),GCA_900128735.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/128/735/GCF_900128735.1_BCiconfinis_v1.0,,,1.0,2.0,379.0,451961.0,GCF_900128735.1_Buchnera aphidicola (Cinara confinis)_strain=BCiconfinis,0.681332356498,24.0104787802,1419.0,@GCF_900128735.1_Buchnera_aphidicola__Cinara_confinis__strain_BCiconfinis,28.0,0.0183909,0.0
GCF_000218545.1,PRJNA224116,SAMN02232005,,representative genome,593907,11,Cellulomonas gilvus ATCC 13127,strain=ATCC 13127,,latest,Complete Genome,Major,Full,2011/06/15,ASM21854v1,US DOE Joint Genome Institute,GCA_000218545.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/545/GCF_000218545.1_ASM21854v1,,assembly from type material,2.0,1.0,3106.0,3526441.0,GCF_000218545.1_Cellulomonas gilvus ATCC 13127_strain=ATCC 13127,0.551537961077,73.8128895393,7333.0,@GCF_000218545.1_Cellulomonas_gilvus_ATCC_13127_strain_ATCC_13127,149.0,0.0162464,10.0
GCF_000020965.1,PRJNA224116,SAMN02603928,,representative genome,309799,14,Dictyoglomus thermophilum H-6-12,strain=H-6-12; ATCC 35947,,latest,Complete Genome,Major,Full,2008/09/26,ASM2096v1,The J. Craig Venter Institute,GCA_000020965.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/965/GCF_000020965.1_ASM2096v1,,assembly from type material,2.0,1.0,1855.0,1959987.0,GCF_000020965.1_Dictyoglomus thermophilum H-6-12_strain=H-6-12; ATCC 35947,0.386298820512,33.7409890984,4533.0,@GCF_000020965.1_Dictyoglomus_thermophilum_H-6-12_strain_H-6-12__ATCC_35947,149.0,0.0251751,422.0
GCF_000012885.1,PRJNA224116,SAMN02598295,,representative genome,338963,19,Pelobacter carbinolicus DSM 2380,strain=DSM 2380,,latest,Complete Genome,Major,Full,2006/03/30,ASM1288v1,DOE Joint Genome Institute,GCA_000012885.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/885/GCF_000012885.1_ASM1288v1,,assembly from type material,2.0,1.0,3156.0,3665893.0,GCF_000012885.1_Pelobacter carbinolicus DSM 2380_strain=DSM 2380,0.466416458295,55.1137471825,4212.0,@GCF_000012885.1_Pelobacter_carbinolicus_DSM_2380_strain_DSM_2380,145.0,0.0410019,5.0
GCF_000016585.1,PRJNA224116,SAMN00623063,,na,319224,24,Shewanella putrefaciens CN-32,strain=CN-32,,latest,Complete Genome,Major,Full,2007/04/20,ASM1658v1,US DOE Joint Genome Institute,GCA_000016585.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/585/GCF_000016585.1_ASM1658v1,,,8.0,1.0,3950.0,4659220.0,GCF_000016585.1_Shewanella putrefaciens CN-32_strain=CN-32,0.401580096705,44.4516249501,1255.0,@GCF_000016585.1_Shewanella_putrefaciens_CN-32_strain_CN-32,206.0,0.00488702,523.0
GCF_000169215.2,PRJNA224116,SAMN00632276,,na,399804,24,Shewanella putrefaciens 200,strain=200,,latest,Complete Genome,Major,Full,2011/01/18,ASM16921v2,US DOE Joint Genome Institute (JGI-PGF),GCA_000169215.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/169/215/GCF_000169215.2_ASM16921v2,,,8.0,1.0,4078.0,4840251.0,GCF_000169215.2_Shewanella putrefaciens 200_strain=200,0.400943485106,44.4962461657,1252.0,@GCF_000169215.2_Shewanella_putrefaciens_200_strain_200,196.0,0.00534127,444.0
GCF_000219105.1,PRJNA224116,SAMN02603152,,representative genome,483219,33,Myxococcus fulvus HW-1,strain=HW-1,,latest,Complete Genome,Major,Full,2011/06/22,ASM21910v1,"College of Life Science, Shandong University",GCA_000219105.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/105/GCF_000219105.1_ASM21910v1,,,3.0,1.0,6861.0,9003593.0,GCF_000219105.1_Myxococcus fulvus HW-1_strain=HW-1,0.446419440838,70.625127102,4141.0,@GCF_000219105.1_Myxococcus_fulvus_HW-1_strain_HW-1,176.0,1e-06,142.0
GCF_000988565.1,PRJNA224116,SAMN03609916,,na,1334629,33,Myxococcus fulvus 124B02,strain=124B02,,latest,Complete Genome,Major,Full,2015/05/06,ASM98856v1,"State Key Laboratory of Microbial Technology, College of Life Science, Shandong University",GCA_000988565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/565/GCF_000988565.1_ASM98856v1,,,3.0,1.0,8412.0,11048835.0,GCF_000988565.1_Myxococcus fulvus 124B02_strain=124B02,0.450539296082,69.9626974247,4146.0,@GCF_000988565.1_Myxococcus_fulvus_124B02_strain_124B02,182.0,0.00118413,117.0
GCF_000012685.1,PRJNA224116,SAMN02604018,,representative genome,246197,34,Myxococcus xanthus DK 1622,strain=DK 1622,,latest,Complete Genome,Major,Full,2006/06/07,ASM1268v1,TIGR,GCA_000012685.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/685/GCF_000012685.1_ASM1268v1,,,4.0,1.0,7126.0,9139763.0,GCF_000012685.1_Myxococcus xanthus DK 1622_strain=DK 1622,0.429012460296,68.8912393024,4140.0,@GCF_000012685.1_Myxococcus_xanthus_DK_1622_strain_DK_1622,196.0,0.00918364,650.0
GCF_002305895.1,PRJNA224116,SAMN06167052,,na,1189310,35,Myxococcus macrosporus DSM 14697,strain=DSM 14697,,latest,Complete Genome,Major,Full,2017/09/15,ASM230589v1,Max Planck Institute for Terrestrial Microbiology,GCA_002305895.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/305/895/GCF_002305895.1_ASM230589v1,,,4.0,1.0,6943.0,8973512.0,,,70.6203658055,,,,,
GCF_000165485.1,PRJNA224116,SAMN02603592,,representative genome,378806,41,Stigmatella aurantiaca DW4/3-1,strain=DW4/3-1,,latest,Complete Genome,Major,Full,2010/10/21,ASM16548v1,Max Planck Institute for Terrestrial Microbiology,GCA_000165485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/485/GCF_000165485.1_ASM16548v1,,,2.0,1.0,8059.0,10260756.0,GCF_000165485.1_Stigmatella aurantiaca DW4/3-1_strain=DW4/3-1,0.438220563642,67.4586453474,4138.0,@GCF_000165485.1_Stigmatella_aurantiaca_DW4/3-1_strain_DW4/3-1,205.0,0.0467915,325.0
GCF_002305875.1,PRJNA224116,SAMN06167122,,na,43,43,Cystobacter fuscus,strain=DSM 52655,,latest,Complete Genome,Major,Full,2017/09/15,ASM230587v1,Max-Planck Institute for terrestrial Microbiology,GCA_002305875.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/305/875/GCF_002305875.1_ASM230587v1,,,4.0,1.0,9582.0,12349744.0,GCF_002305875.1_Cystobacter fuscus_strain=DSM 52655,0.43770650216,68.4867556769,4136.0,@GCF_002305875.1_Cystobacter_fuscus_strain_DSM_52655,216.0,0.0105965,43.0
GCF_001027285.1,PRJNA224116,SAMN03704078,,representative genome,48,48,Archangium gephyra,strain=DSM 2261,,latest,Complete Genome,Major,Full,2015/06/03,ASM102728v1,"Dr. Srikrishna Subramanian, Protein Science and Engineering, Institute of Microbial Technology, Chandigarh, India",GCA_001027285.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/285/GCF_001027285.1_ASM102728v1,,assembly from type material,3.0,1.0,9470.0,12489432.0,GCF_001027285.1_Archangium gephyra_strain=DSM 2261,0.449136585305,69.4487707688,4137.0,@GCF_001027285.1_Archangium_gephyra_strain_DSM_2261,179.0,0.0179354,109.0
GCF_001189295.1,PRJNA224116,SAMN03651481,,representative genome,52,52,Chondromyces crocatus,strain=Cm c5,,latest,Complete Genome,Major,Full,2015/07/30,ASM118929v1,Helmholtz Centre for Infection Research,GCA_001189295.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/189/295/GCF_001189295.1_ASM118929v1,,assembly from type material,3.0,1.0,7879.0,11388132.0,GCF_001189295.1_Chondromyces crocatus_strain=Cm c5,0.439177531113,68.7090999648,4123.0,@GCF_001189295.1_Chondromyces_crocatus_strain_Cm_c5,156.0,0.0336369,89.0
GCF_000067165.1,PRJNA224116,SAMEA3138271,,representative genome,448385,56,Sorangium cellulosum So ce56,strain=So ce 56,,latest,Complete Genome,Major,Full,2007/11/27,ASM6716v1,Bielefeld Univ,GCA_000067165.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/067/165/GCF_000067165.1_ASM6716v1,,,4.0,1.0,9288.0,13033779.0,GCF_000067165.1_Sorangium cellulosum So ce56_strain=So ce 56,0.408001268695,71.3757383795,4120.0,@GCF_000067165.1_Sorangium_cellulosum_So_ce56_strain_So_ce_56,221.0,0.00505405,1444.0
GCF_000418325.1,PRJNA224116,SAMN02603858,,na,1254432,56,Sorangium cellulosum So0157-2,strain=So0157-2,,latest,Complete Genome,Major,Full,2013/07/05,ASM41832v1,Shandong University,GCA_000418325.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/418/325/GCF_000418325.1_ASM41832v1,,,4.0,1.0,10494.0,14782125.0,GCF_000418325.1_Sorangium cellulosum So0157-2_strain=So0157-2,0.417693071931,72.1018392146,4121.0,@GCF_000418325.1_Sorangium_cellulosum_So0157-2_strain_So0157-2,150.0,0.01065,144.0
GCF_002222655.1,PRJNA224116,SAMN07313362,,representative genome,63,63,Vitreoscilla filiformis,strain=ATCC 15551,,latest,Complete Genome,Major,Full,2017/07/20,ASM222265v1,L'Oreal,GCA_002222655.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/655/GCF_002222655.1_ASM222265v1,,,2.0,3.0,3252.0,3787551.0,GCF_002222655.1_Vitreoscilla filiformis_strain=ATCC 15551,0.38863766832,63.4807293684,3397.0,@GCF_002222655.1_Vitreoscilla_filiformis_strain_ATCC_15551,164.0,0.0646977,54.0
GCF_000222485.1,PRJNA224116,SAMN02261369,,representative genome,880070,104,Cyclobacterium marinum DSM 745,strain=DSM 745,,latest,Complete Genome,Major,Full,2011/08/03,ASM22248v1,JGI,GCA_000222485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/222/485/GCF_000222485.1_ASM22248v1,,assembly from type material,3.0,1.0,4919.0,6221273.0,GCF_000222485.1_Cyclobacterium marinum DSM 745_strain=DSM 745,0.198979360079,38.1460675331,8428.0,@GCF_000222485.1_Cyclobacterium_marinum_DSM_745_strain_DSM_745,161.0,0.0180084,3.0
GCF_000218895.1,PRJNA224116,SAMN02232050,,representative genome,761193,106,Runella slithyformis DSM 19594,strain=DSM 19594,,latest,Complete Genome,Major,Full,2011/06/17,ASM21889v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000218895.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/895/GCF_000218895.1_ASM21889v1,,assembly from type material,2.0,6.0,5688.0,6919729.0,GCF_000218895.1_Runella slithyformis DSM 19594_strain=DSM 19594,0.109188860878,46.4232631076,8444.0,@GCF_000218895.1_Runella_slithyformis_DSM_19594_strain_DSM_19594,170.0,0.252467,33.0
GCF_000165715.2,PRJNA224116,SAMN00103628,,representative genome,756272,119,Rubinisphaera brasiliensis DSM 5305,strain=DSM 5305,,latest,Complete Genome,Major,Full,2011/03/01,ASM16571v3,US DOE Joint Genome Institute (JGI-PGF),GCA_000165715.3,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/715/GCF_000165715.2_ASM16571v3,,assembly from type material,2.0,1.0,4676.0,6006602.0,GCF_000165715.2_Rubinisphaera brasiliensis DSM 5305_strain=DSM 5305,0.205657488138,56.4486376823,4268.0,@GCF_000165715.2_Rubinisphaera_brasiliensis_DSM_5305_strain_DSM_5305,177.0,0.231275,615.0
GCF_000092105.1,PRJNA224116,SAMN02598463,,representative genome,521674,120,Planctopirus limnophila DSM 3776,strain=DSM 3776,,latest,Complete Genome,Major,Full,2010/05/13,ASM9210v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000092105.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/105/GCF_000092105.1_ASM9210v1,,assembly from type material,2.0,2.0,4257.0,5460085.0,GCF_000092105.1_Planctopirus limnophila DSM 3776_strain=DSM 3776,0.058903723528,53.6844572932,4265.0,@GCF_000092105.1_Planctopirus_limnophila_DSM_3776_strain_DSM_3776,148.0,0.307378,203.0
