sample_name,GenBank BioSample,NCBI SRA,project_id,source_mat_id,latitude,longitude,habitat_name,taxon_id,strain,genus,species,family,depth,sample_collection_site,class,phylum,assembly_accession_number,collection_date,date_of_experiment,day_portion_of_day_night_cycle_in_hours,envo_term_for_habitat_primary_term,growth_medium,investigation_type,light,other_collection_site_info,sample_material,experimental_salinity,experimental_temperature,fastq_file,night_portion_of_day_night_cycle_in_hours,primary_citation,longhurst_province,ph,clonal,envo_term_for_habitat_secondary_term,habitat_description,prey_organism_if_applicable,environmental_salinity,other_experimental_metadata_available,country,axenic,modifications_to_growth_medium,additional_citations,collection_time,other_environmental_metadata_available,environmental_temperature,phosphate,nitrate,iron,trace_elements,pressure,carbon_dioxide,ammonium,pcr_amp,silicate,sample_type,sample_description,collection_start_time,collection_stop_time,site_name,site_description,library_acc,sequencing_method,dna_type,comments,order,superkingdom,combined_assembly_name,external_sample_id,habitat,principle_investigator,sample_volume,volume_unit,filter_min,filter_max,filter_fraction_maximum,filter_fraction_minimum,volume_filtered,urea,chlorophyll,elevation,dissolved_oxygen,particulate_organic_carbon,region,n16S,nge,ncds,genome_size,tax_name,phi,GC,clade,tip_name,npaths_actual,branch_length,nec_actual
MMETSP1172,2740143,SRS621477,104,(MMETSP1172) Timspurckia oligopyrenoides,-31.81,144.9,sediment,708627,CCMP3278,Timspurckia,oligopyrenoides,Porphyridiaceae,,Indian_Ocean,Porphyridiophyceae,Rhodophyta,CAM_ASM_000715,15-FEB-98,18-JAN-12,13.0,,L1,EU,," 31.8100S 144.9000E Stony Creek Backwash, Williamstown, Victoria, Australia",,32.0,20.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP117/MMETSP1172.fastq.tar,11.0,"Yang, Scott et West",,8.0,,,from a mud sample,,,,,,added 200 ul of 500 mol NH4Cl per liter,,,,,36.2,882.0,,12871.2,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP1172|Timspurckia-oligopyrenoides-CCMP3278,,,220.0,@MMETSP1172_Timspurckia-oligopyrenoides-CCMP3278,191.0,0.0516788,1167.0
MMETSP1174,2740580,SRS621536,104,(MMETSP1174) Dictyocha speculum,55.48,11.1,marine habitat,35687,CCMP1381,Dictyocha,speculum,Dictyochaceae,,Baltic Sea,Dictyochophyceae,Ochrophyta,CAM_ASM_000717,,19-JAN-12,13.0,,L1,EU,,"55.4800N 11.1000E Musholm Bugt, Store Bælt, Denmark (approx.)",,32.0,4.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP117/MMETSP1174.fastq.tar,11.0,Ehrenberg,NECS,8.0,,,,,,,,,added 200 ul of 500 mol NH4Cl per liter,,,,,36.2,882.0,,12871.2,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP1174|Dictyocha-speculum-CCMP1381,,,18.0,@MMETSP1174_Dictyocha-speculum-CCMP1381,243.0,0.136532,2101.0
MMETSP1175,2740581,SRS621582,104,(MMETSP1175) Triceratium dubium,30.0,-60.0,marine habitat,1003142,CCMP147,Triceratium,dubium,Triceratiaceae,,Sargasso Sea,Bacillariophyceae,Bacillariophyta,CAM_ASM_000726,,12-JAN-12,13.0,,L1,EU,, 30.0000N 60.0000W Sargasso Sea (very approx.),,32.0,20.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP117/MMETSP1175.fastq.tar,11.0,Brightwell,NASW,8.0,,,open ocean,,,,,,added 200 ul of 500 mol NH4Cl per liter,,,,,36.2,882.0,,12871.2,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP1175|Triceratium-dubium-CCMP147,,,520.0,@MMETSP1175_Triceratium-dubium-CCMP147,191.0,0.0291731,1234.0
MMETSP1178,2740130,SRS621475,104,(MMETSP1178) unid sp,14.449000000000002,64.9997,marine habitat,33656,CCMP2000,unid,sp,,,Arabian Sea,Prymnesiophyceae,Haptophyta,CAM_ASM_000739,12-NOV-95,,13.0,,L1,EU,," 14.4490N 64.9997E Arabian Sea, 05301509, 1112, BA3, collected at 75M, 2% light at 2135 GMT",,32.0,20.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP117/MMETSP1178.fastq.tar,11.0,,ARAB,8.0,,,,,,,,,,,,,,36.2,882.0,,12871.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP1178|Unidentifiedeukaryote-sp-CCMP2000,,,229.0,@MMETSP1178_Unidentifiedeukaryote-sp-CCMP2000,173.0,0.00231943,1196.0
MMETSP1466,2740614,SRS621616,104,(MMETSP1466) Pavlova gyrans - Seawater,,,marine habitat,44452,CCMP608,Pavlova,gyrans,Pavlovaceae,10.0,Atlantic_Ocean,Pavlovophyceae,Haptophyta,CAM_ASM_001126,,25-AUG-13,13.0,Acquatic: marine,L1 amended seawater,EU,100.0,"Helford river, Falmouth, UK",Seawater,33.0,14.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP146/MMETSP1466.fastq.tar,11.0,"Butcher, R.W. (1952). Contributions to knowledge of the smaller marine algae. Journal of the Marine Biological Association of the United Kingdom 31: 175-191.",,8.2,1,,,,30.0,,GB,1,,,,,14.0,36.2,882.0,11.7,12871.2,1.0,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP1466|Pavlova-gyrans-CCMP608,,,262.0,@MMETSP1466_Pavlova-gyrans-CCMP608,180.0,0.0838381,1311.0
MMETSP1338,2740584,SRS621591,104,(MMETSP1338) Pelagodinium béii - seawater,14.82,-67.05,marine habitat,43686,RCC1491,Pelagodinium,béii,Suessiaceae,,Atlantic Ocean,Dinophyceae,Dinophyta,CAM_ASM_000754,,15-JAN-12,12.0,Aquatic: marine,K/2,EU,40.0,Caribbean Sea,seawater,35.0,20.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP133/MMETSP1338.fastq.tar,12.0,"Siano, R., Montresor, M., Probert, I., Not, F. and de Vargas, C. (2010) Pelagodinium gen. nov.and P. béii comb.nov., a dinoflagellate symbiont of planktonic foraminifera. Protist 161: 385-399",,,,,,,,,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP1338|Pelagodinium-bii-RCC1491,,,113.0,@MMETSP1338_Pelagodinium-bii-RCC1491,239.0,0.0176008,3573.0
MMETSP1459,2740207,SRS621597,104,(MMETSP1459) Pycnococcus provasolii - Seawater,-33.8667,-73.3333,marine habitat,41880,RCC931,Pycnococcus,provasolii,Pycnococcaceae,30.0,Pacific_Ocean,Prasinophyceae,Chlorophyta,CAM_ASM_001120,01-JAN-03,25-AUG-13,13.0,Acquatic: marine,L1 amended seawater,EU,100.0,BIOSOPE cruise Station UPW3 near Chile,Seawater,33.0,20.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP145/MMETSP1459.fastq.tar,11.0,"Picoplankton diversity in the South-East Pacific Ocean from cultures. Le Gall F. Rigaut-Jalabert, D. Marie, L. Garczarek, M. Viprey, A. Gobet, and D. Vaulot. Biogeosciences, 5, 203–214, 2008",CHIL,8.2,1,,open ocean,,30.0,,CL,,,,,,20.0,36.2,882.0,11.7,12871.2,1.0,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP1459|Pycnococcus-provasolii-RCC931,,,328.0,@MMETSP1459_Pycnococcus-provasolii-RCC931,209.0,1e-06,1156.0
MMETSP1469,2739986,SRS621621,104,(MMETSP1469) Unidentified sp. - Seawater,,,marine habitat,44458,CCMP1205,Unidentified,sp.,,10.0,,,,CAM_ASM_001105,01-JAN-65,25-AUG-13,13.0,Acquatic: marine,L1 amended seawater,EU,100.0,Trident cruise,Seawater,33.0,24.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP146/MMETSP1469.fastq.tar,11.0,"Potter,D., LaJeunesse,T.C., Saunders,G.W. and Andersen,R.A. Convergent evolution masks extensive biodiversity among marine coccoid picoplankton. Biodivers. Conserv. 6, 99-107 (1997)",,8.2,1,,,,30.0,,,1,,,,,20.0,36.2,882.0,11.7,12871.2,1.0,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP1469|Unidentifiedeukaryote-sp-CCMP1205,,,340.0,@MMETSP1469_Unidentifiedeukaryote-sp-CCMP1205,188.0,0.00721378,1205.0
MMETSP1470,2740109,SRS621622,104,(MMETSP1470) Unidentified sp - Seawater,22.75,-158.0,marine habitat,2759,CCMP2175,Unidentified,sp,,10.0,Pacific_Ocean,,,CAM_ASM_001106,21-SEP-92,25-AUG-13,13.0,Acquatic: marine,L1 amended seawater,EU,100.0,"HOT station, Hawaii",Seawater,33.0,24.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP147/MMETSP1470.fastq.tar,11.0,,NPTG,8.2,1,,oligotrophic open ocean,,30.0,,US,,ammonium added,,,,22.0,36.2,882.0,11.7,12871.2,1.0,390.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP1470|Unidentifiedeukaryote-sp-CCMP2175,,,348.0,@MMETSP1470_Unidentifiedeukaryote-sp-CCMP2175,263.0,1e-06,2909.0
MMETSP1463,2739956,SRS621595,104,(MMETSP1463) Pavlova lutheri - beach sand,55.743,4.9233400000000005,soil,2832,RCC1537,Pavlova,lutheri,Pavlovaceae,,North Sea,Pavlovophyceae,Haptophyta,CAM_ASM_001123,01-JAN-53,25-AUG-13,13.0,Acquatic: marine,L1 amended seawater,EU,100.0,"Isle of Cumbrae, Scotland, rock pool",beach sand,33.0,24.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP146/MMETSP1463.fastq.tar,11.0,"Droop, M.R. 1953. On the ecology of flagellates from some brackish and freshwater rock pools of Finland. Acta Bot. Fenn. 51:1-52",NECS,8.2,1,,,,30.0,,GB,,,"El Mahdi Bendifa, Ian Probert, Annie Hervéc, Chantal Billard, Didier Goux, Christophe Lelong, Jean-Paul Cadoret, and Benoît Véron. Integrative Taxonomy of the Pavlovophyceae (Haptophyta): A Reassessment.  Protist, Vol. 162, 738–761, 2011.",,,14.0,36.2,882.0,11.7,12871.2,1.0,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP1463|Pavlova-lutheri-RCC1537,,,263.0,@MMETSP1463_Pavlova-lutheri-RCC1537,193.0,0.094209,1324.0
MMETSP1472,2740192,SRS621625,104,(MMETSP1472) Pycnococcus provasolii - Seawater,48.716667,-3.983333,marine habitat,41880,RCC251,Pycnococcus,provasolii,Pycnococcaceae,10.0,English Channel,Prasinophyceae,Chlorophyta,CAM_ASM_001108,01-JAN-01,25-AUG-13,13.0,Acquatic: marine,L1 amended seawater,EU,100.0,Roscoff Estacade,Seawater,33.0,14.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP147/MMETSP1472.fastq.tar,11.0,,,8.2,1,,,,30.0,,FR,,,,,,20.0,36.2,882.0,11.7,12871.2,1.0,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP1472|Pycnococcus-provasolii-RCC251,,,330.0,@MMETSP1472_Pycnococcus-provasolii-RCC251,182.0,1e-06,853.0
MMETSP1473,2740219,SRS621626,104,(MMETSP1473) Stichococcus sp - Seawater,-31.866667,-91.416667,marine habitat,2759,RCC1054,Stichococcus,sp,Prasiolaceae,40.0,Pacific_Ocean,Trebouxiophyceae,Chlorophyta,CAM_ASM_001109,11-JAN-04,25-AUG-13,13.0,Acquatic: marine,L1 amended seawater,EU,100.0,Biosope station EGY4,Seawater,33.0,20.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP147/MMETSP1473.fastq.tar,11.0,"Picoplankton diversity in the South-East Pacific Ocean from cultures.F. Le Gall, F. Rigaut-Jalabert, D. Marie, L. Garczarek, M. Viprey, A. Gobet, and D. Vaulot. Biogeosciences, 5, 203–214, 2008",SPSG,8.2,1,,oligotrophic open ocean,,30.0,,,,,,,,20.0,36.2,882.0,11.7,12871.2,1.0,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP1473|Stichococcus-sp-RCC1054,,,364.0,@MMETSP1473_Stichococcus-sp-RCC1054,242.0,0.079607,1559.0
MMETSP1159,2740185,SRS621413,104,(MMETSP1159) Picocystis salinarum,37.78,-122.35,marine habitat,88271,CCMP1897,Picocystis,salinarum,Unknown,,,Unknown,Chlorophyta,CAM_ASM_000767,05-DEC-99,10-FEB-12,13.0,,L1,EU,," 37.7800N 122.3500W San Francisco Bay, California USA",,32.0,20.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP115/MMETSP1159.fastq.tar,11.0,,CCAL,8.0,,,,,,,,,added 200 ul of 500 mol NH4Cl per liter,,,,,36.2,882.0,,12871.2,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP1159|Picocystis-salinarum-CCMP1897,,,335.0,@MMETSP1159_Picocystis-salinarum-CCMP1897,201.0,1e-06,1491.0
MMETSP0696,2739993,SRS618920,104,(MMETSP0696) Extubocellulus spinifer,31.3172,113.56,marine habitat,265572,CCMP396,Extubocellulus,spinifer,Cymatosiraceae,,Gulf of California (Sea of Cortés),Coscinodiscophyceae,Bacillariophyta,CAM_ASM_000627,01-JAN-68,05-SEP-11,24.0,Acquatic: marine,ASW,EU,200.0,,,,20.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP069/MMETSP0696.fastq.tar,,"Hasle, G.R., Stosch, H.A. von & Syvertsen, E.E. (1983). Cymatosiraceae, a new diatom family. Bacillaria 6: 9-156.",,8.0,1,,,,,"cell concentration, neutral lipid content (fluorometrically determined with Bodipy)",MX,1,,,,,,0.2,2.97,,19.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP0696|Extubocellulus-spinifer-CCMP396,,,470.0,@MMETSP0696_Extubocellulus-spinifer-CCMP396,267.0,0.0401598,3955.0
MMETSP0286,2740076,SRS618855,104,(MMETSP0286) Chrysochromulina polylepis - seawater,59.0,10.45,marine habitat,72548,UIO037,Chrysochromulina,polylepis,Prymnesiaceae,18.0,North Sea,Prymnesiophyceae,Haptophyta,CAM_ASM_000318,29-MAY-88,31-MAR-11,12.0,Acquatic: marine,IMR 1/2 (Eppley et al 1967),EU,50.0,"Near Torbjørnskjær, monitoring station OF1",seawater,25.0,16.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP028/MMETSP0286.fastq.tar,12.0,,NECS,8.2,1,,coastal water,,25.0,Form blooms in brackish Atlantic waters,NO,1,"added 10 nM Se, without HCl and Si",,,Colleced during a toxic bloom with approx. 50 million cells/L,16.0,25.0,248.0,2.0,10.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP0286|Chrysochromulina-polylepis-UIO037,,,248.0,@MMETSP0286_Chrysochromulina-polylepis-UIO037,163.0,1e-06,1393.0
MMETSP1339,2740585,SRS621468,104,(MMETSP1339) Fibrocapsa japonica,-37.86,144.93,marine habitat,94617,CCMP1661,Fibrocapsa,japonica,Chattonellaceae,,Bass Strait,Raphidophyceae,Ochrophyta,CAM_ASM_000762,,12-JAN-12,13.0,,L1,EU,," 37.8600S 144.9300E Port Phillip Bay, Hobsons Bay, Melbourne, Victoria, Australia",,32.0,,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP133/MMETSP1339.fastq.tar,11.0,Torumi et Takano,,8.0,,,"marine, coastal",,,,,,,,,,,36.2,882.0,,12871.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP1339|Fibrocapsa-japonica-CCMP1661,,,7.0,@MMETSP1339_Fibrocapsa-japonica-CCMP1661,213.0,0.0797823,1323.0
